City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Manzanares,ES,2022-10-18 18:58:20,38.9991,-3.3699,78.35,38,52,9.8
93,Jamestown,US,2022-10-18 18:58:20,42.097,-79.2353,42.39,90,100,16.11
94,Hirara,JP,2022-10-18 18:58:21,24.8,125.2833,74.75,70,100,29.04
95,Drugovo,MK,2022-10-18 18:58:21,41.4842,20.9233,45.36,49,0,1.88
96,Bandarbeyla,SO,2022-10-18 18:58:22,9.4942,50.8122,78.46,80,35,9.15
97,Aklavik,CA,2022-10-18 18:58:22,68.2191,-135.0107,26.6,93,100,3.44
98,Povenets,RU,2022-10-18 18:58:23,62.8487,34.8262,40.6,92,100,6.24
99,Butaritari,KI,2022-10-18 18:58:23,3.0707,172.7902,81.61,73,86,16.87
100,Praia Da Vitoria,PT,2022-10-18 18:58:24,38.7333,-27.0667,62.85,67,40,23.64
101,Isoka,ZM,2022-10-18 18:58:24,-10.1606,32.6335,69.51,36,78,4.36
102,Castro,BR,2022-10-18 18:58:25,-24.7911,-50.0119,62.6,91,100,4.81
103,Guerrero Negro,MX,2022-10-18 18:54:05,27.9769,-114.0611,80.71,47,0,2.98
104,Sainte-Marie,RE,2022-10-18 18:58:26,-20.8968,55.5496,68.41,85,75,1.14
105,Mont-Dore,NC,2022-10-18 18:58:26,-22.2833,166.5833,66.18,80,61,7.43
106,Yarmouth,US,2022-10-18 18:58:27,41.7057,-70.2286,67.14,91,75,10.36
107,Locri,IT,2022-10-18 18:58:27,38.2414,16.2623,64.31,82,0,7.09
108,Pio Xii,BR,2022-10-18 18:58:28,-3.8325,-45.1525,93.13,36,67,2.37
109,Dingle,PH,2022-10-18 18:58:28,10.9995,122.6711,76.32,92,96,3.24
110,Prince Rupert,CA,2022-10-18 18:55:17,54.3161,-130.3201,57.29,91,100,33.38
111,Port Lincoln,AU,2022-10-18 18:58:29,-34.7333,135.8667,58.08,91,1,9.84
112,Gonaives,HT,2022-10-18 18:58:29,19.45,-72.6833,85.82,65,27,6.26
113,Khatanga,RU,2022-10-18 18:58:30,71.9667,102.5,28.99,96,100,23.31
114,Scarborough,GB,2022-10-18 18:56:41,54.2797,-0.4044,52.66,83,27,1.99
115,Port Elizabeth,ZA,2022-10-18 18:56:30,-33.918,25.5701,71.1,91,20,8.05
116,Tromso,NO,2022-10-18 18:58:32,69.6496,18.957,37.42,87,75,5.75
117,Riberalta,BO,2022-10-18 18:58:33,-10.9833,-66.1,91.6,58,75,9.22
118,Geraldton,AU,2022-10-18 18:58:33,-28.7667,114.6,48.61,93,0,2.3
119,Padang,ID,2022-10-18 18:58:35,-0.9492,100.3543,77.77,84,100,2.55
120,Buzmeyin,TM,2022-10-18 18:58:35,38.0507,58.2056,58.73,77,100,13.8
121,Kloulklubed,PW,2022-10-18 18:58:35,7.0419,134.2556,75.7,72,100,13.09
122,Puerto Ayora,EC,2022-10-18 18:58:36,-0.7393,-90.3518,75.16,78,34,8.01
123,Port Hardy,CA,2022-10-18 18:58:36,50.6996,-127.4199,60.98,77,75,6.91
124,Haines Junction,CA,2022-10-18 18:58:37,60.7522,-137.5108,33.75,93,100,1.14
125,Qaanaaq,GL,2022-10-18 18:58:37,77.484,-69.3632,7.3,86,96,4.29
126,Fuyu,CN,2022-10-18 18:58:38,45.1833,124.8167,34.68,53,0,7.43
127,Kutum,SD,2022-10-18 18:58:38,14.2,24.6667,78.84,24,5,4.36
128,Ararat,AM,2022-10-18 18:58:38,39.8317,44.7049,62.94,48,2,5.28
129,Dikson,RU,2022-10-18 18:58:39,73.5069,80.5464,29.28,79,100,12.68
130,Faanui,PF,2022-10-18 18:58:39,-16.4833,-151.75,77.38,79,31,17.0
131,Sur,OM,2022-10-18 18:58:40,22.5667,59.5289,83.03,34,100,6.29
132,Puerto Madryn,AR,2022-10-18 18:58:40,-42.7692,-65.0385,74.14,26,0,28.59
133,Vardo,NO,2022-10-18 18:58:41,70.3705,31.1107,39.18,81,75,18.41
134,Margate,GB,2022-10-18 18:58:41,51.3813,1.3862,58.89,80,100,3.0
135,Caravelas,BR,2022-10-18 18:59:42,-17.7125,-39.2481,79.75,62,19,9.55
136,Yanam,IN,2022-10-18 18:59:42,16.7333,82.2167,77.95,83,100,4.12
137,Torbay,CA,2022-10-18 18:59:43,47.6666,-52.7314,55.27,96,100,11.5
138,Mitsamiouli,KM,2022-10-18 18:59:43,-11.3847,43.2844,75.7,78,1,8.66
139,Norman Wells,CA,2022-10-18 18:59:44,65.282,-126.8329,32.04,100,40,2.3
140,Jalu,LY,2022-10-18 18:59:44,29.0331,21.5482,69.19,43,1,7.74
141,Hermanus,ZA,2022-10-18 18:59:45,-34.4187,19.2345,63.81,85,63,10.56
142,Imbituba,BR,2022-10-18 18:58:54,-28.24,-48.6703,66.29,93,100,1.74
143,Camoapa,NI,2022-10-18 18:59:47,12.3839,-85.5116,82.62,71,92,4.68
144,Kavaratti,IN,2022-10-18 18:58:52,10.5669,72.642,79.02,80,100,20.45
