City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
187,Pouembout,NC,-21.1333,164.9,79.93,76,100,4.29,overcast clouds
188,Kerema,PG,-7.9631,145.7785,85.12,77,100,7.76,overcast clouds
189,Rafaela,AR,-31.2503,-61.4867,69.98,42,52,1.99,broken clouds
190,Bonfim,BR,3.0833,-59.95,78.4,73,95,1.21,overcast clouds
191,Tecoanapa,MX,16.5167,-98.75,76.42,83,55,4.56,broken clouds
192,Nago,JP,26.5881,127.9761,79.23,73,100,12.44,overcast clouds
193,Flinders,AU,-34.5833,150.8552,65.37,62,47,14.65,scattered clouds
194,Koslan,RU,63.4564,48.8989,1.56,98,37,3.76,scattered clouds
195,Kahului,US,20.8947,-156.47,77.02,77,20,8.05,few clouds
196,Hithadhoo,MV,-0.6,73.0833,81.75,74,93,13.4,overcast clouds
197,Kyshtovka,RU,56.555,76.6271,5.92,87,98,5.66,overcast clouds
198,Jackson,US,42.4165,-122.8345,43.45,63,0,0.0,clear sky
199,Souillac,MU,-20.5167,57.5167,75.76,52,1,7.14,clear sky
200,Saldanha,ZA,-33.0117,17.9442,62.29,68,88,16.53,overcast clouds
201,Mahebourg,MU,-20.4081,57.7,79.25,55,9,6.49,clear sky
202,Byron Bay,AU,-28.65,153.6167,69.94,50,13,12.03,few clouds
203,Taoudenni,ML,22.6783,-3.9836,68.41,21,0,6.46,clear sky
204,Tasiilaq,GL,65.6145,-37.6368,37.56,95,100,22.95,light rain
205,Lazaro Cardenas,MX,17.9583,-102.2,75.47,90,10,4.14,clear sky
206,Norman Wells,CA,65.282,-126.8329,10.2,86,98,3.78,overcast clouds
207,Isangel,VU,-19.55,169.2667,81.14,76,96,8.79,overcast clouds
208,Yellowknife,CA,62.456,-114.3525,5.56,92,75,3.44,broken clouds
209,Bhawanipatna,IN,19.9,83.1667,78.33,42,5,5.32,clear sky
210,Eyl,SO,7.9803,49.8164,82.54,58,19,14.41,few clouds
211,Issenye,TZ,-2.0,34.3333,72.55,68,93,3.33,overcast clouds
212,Tres Arroyos,AR,-38.3739,-60.2798,54.45,94,37,3.96,scattered clouds
213,Maxixe,MZ,-23.8597,35.3472,82.33,50,1,0.87,clear sky
214,Cervo,ES,43.6702,-7.4101,58.1,75,52,18.23,broken clouds
215,Angoche,MZ,-16.2325,39.9086,83.93,58,53,3.96,broken clouds
216,Zacatepec,MX,18.65,-99.2,75.42,62,8,2.08,clear sky
217,Pemangkat,ID,1.1667,108.9667,84.2,70,49,7.45,scattered clouds
218,Cherskiy,RU,68.75,161.3,1.49,97,100,3.78,light snow
219,Viedma,AR,-40.8135,-62.9967,55.62,68,1,10.51,clear sky
220,Turukhansk,RU,65.8167,87.9833,-30.08,100,94,1.57,overcast clouds
221,Gat,IL,31.61,34.7642,66.4,100,27,8.1,scattered clouds
222,Sherlovaya Gora,RU,50.5667,116.25,28.02,74,38,14.72,scattered clouds
223,Catamarca,AR,-28.4696,-65.7852,82.06,36,6,15.32,clear sky
224,Diapaga,BF,12.0708,1.7889,67.78,22,33,7.18,scattered clouds
225,Krasnokamensk,RU,50.0979,118.0369,28.94,79,49,12.97,scattered clouds
