City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
196,Hithadhoo,MV,81.75,overcast clouds,-0.6,73.0833,Scoop Guest House
199,Souillac,MU,75.76,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
201,Mahebourg,MU,79.25,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
205,Lazaro Cardenas,MX,75.47,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
207,Isangel,VU,81.14,overcast clouds,-19.55,169.2667,Tanna Lodge
209,Bhawanipatna,IN,78.33,clear sky,19.9,83.1667,Bhagirathi inn
210,Eyl,SO,82.54,few clouds,7.9803,49.8164,EYL AQUE SYSTEM
211,Issenye,TZ,72.55,overcast clouds,-2.0,34.3333,
213,Maxixe,MZ,82.33,clear sky,-23.8597,35.3472,Oceano
215,Angoche,MZ,83.93,broken clouds,-16.2325,39.9086,Guest House HESADA
216,Zacatepec,MX,75.42,clear sky,18.65,-99.2,Villas El Paraíso
217,Pemangkat,ID,84.2,scattered clouds,1.1667,108.9667,Hotel Duyung Permai 2
223,Catamarca,AR,82.06,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
228,Nanakuli,US,76.95,clear sky,21.3906,-158.1547,Camp Pālehua
229,Puerto Ayacucho,VE,73.69,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
239,Kabo,CF,73.67,overcast clouds,7.6994,18.629,
250,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
253,Cravo Norte,CO,75.11,light rain,6.3017,-70.2041,Hotel Potosí Los Mirtos
255,Sao Miguel Do Araguaia,BR,71.89,clear sky,-13.275,-50.1628,Hotel Executivo Palace
256,Poum,NC,80.53,overcast clouds,-20.2333,164.0167,
259,Buchanan,LR,74.75,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
263,Tezu,IN,78.21,clear sky,27.9167,96.1667,Circuit House
264,Kavaratti,IN,82.0,broken clouds,10.5669,72.642,Green leaf
266,Yulara,AU,83.25,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
273,Paka,MY,87.39,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
